"ip";"port";"country code";"city";"region";"country";"level";"http";"https";"socks4";"socks5";"google";"twitter";"instagram";"telegram";"avito";"mailru";"real_ip";"response, msec";"good checks";"bad checks";"hostname"
"72.10.164.178";17209;"BO";"Cochabamba";"Departamento de Cochabamba";"Боливия";1;1;1;0;0;0;0;0;0;1;0;"189.28.91.89";267;24;1;"189.28.91.89"
"72.10.164.178";16545;"PK";"Karachi";"Sindh";"Пакистан";1;1;1;0;0;0;0;0;0;1;0;"39.51.106.253";267;6;0;"39.51.106.253"
"72.10.164.178";16175;"NP";"";"";"Непал";1;1;1;0;0;0;0;0;0;1;0;"103.177.52.252";267;9;0;"103.177.52.252"
"72.10.164.178";15287;"KW";"Kuwait City";"Al Asimah";"Кувейт";1;1;1;0;0;0;0;0;0;1;0;"62.150.36.225";267;18;2;"62.150.36.225"
"72.10.164.178";14277;"TW";"Taoyuan District";"Taoyuan";"Тайвань";1;1;1;0;0;0;0;0;0;1;0;"114.37.21.45";149;9;0;"114.37.21.45"
"72.10.164.178";13321;"US";"The Bronx";"New York";"США";1;1;1;0;0;0;0;0;0;0;0;"67.84.1.80";267;6;0;"ool-43540150.dyn.optonline.net"
"72.10.164.178";12233;"VE";"Caracas";"Distrito Federal";"Венесуэла";1;1;1;0;0;0;0;0;0;1;0;"190.207.58.49";267;21;0;"190-207-58-49.lms-01-p76.cantv.net"
"72.10.164.178";12101;"NP";"";"";"Непал";1;1;1;0;0;0;0;0;0;1;0;"160.250.254.81";267;21;0;"160.250.254.81"
"72.10.164.178";10543;"AR";"Santa Fe";"Santa Fe";"Аргентина";1;1;1;0;0;0;0;0;0;1;0;"190.3.50.178";149;6;0;"190.3.50.178"
"72.10.164.178";9439;"SG";"";"";"Сингапур";1;1;1;0;0;0;0;0;0;1;0;"116.86.10.110";267;24;1;"116.86.10.110"
"72.10.164.178";7377;"ID";"Bandung";"West Java";"Индонезия";1;0;1;0;0;0;0;0;0;1;0;"125.164.16.84";153;18;1;"125.164.16.84"
"72.10.164.178";6443;"IN";"New Delhi";"National Capital Territory of Delhi";"Индия";1;1;1;0;0;0;0;0;0;1;0;"49.36.180.29";153;34;2;"49.36.180.29"
"72.10.164.178";4737;"ID";"Malang";"East Java";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"103.189.201.230";149;37;2;"103.189.201.230"
"72.10.164.178";4355;"TW";"Kaohsiung";"Kaohsiung";"Тайвань";1;1;1;0;0;0;0;0;0;1;0;"218.173.21.103";149;9;0;"218.173.21.103"
"72.10.164.178";3365;"ID";"Jakarta";"Jakarta";"Индонезия";1;1;1;0;0;0;0;0;0;1;0;"182.253.48.119";149;18;1;"182.253.48.119"
