title,salary,experience,busyness,location,description,link
Военнослужащий по контракту на СВО,до 1 000 000 ₽/месяц,Опыт не нужен,,,"Государственная служба Военная служба, служба по контракту Военнослужащий по контракту Военнослужащий по контракту на СВО до 1 000 000 ₽/месяц Вахта Опыт не нужен Москва, улица Яблочкова, 5с1 Парк Победы Показать на карте Опыт работы не требуется, работа вахтовым методом Военная кадровая компания ""РЕСУРС"" Клиент SuperJob с 2025 года До 50 сотрудников Военно-кадровая компания РЕСУРС. Занимаемся поиском и подбором граждан для заключения с ними контракта о прохождении военной службы, в том... Присоединяйтесь к Вооружённым Силам России и получите максимум возможностей для себя и своей семьи! Контракт напрямую с Министерством Обороны РФ Единовременные подъёмные выплаты от 1 900 000 до 2 500 000 рублей — самые высокие в России! Ежемесячное довольствие от 275 000 до 1 000 000 рублей! Почему стоит выбрать нас? Полная оплата проезда, питания и проживания на весь период оформления и службы. Наличие судимостей и отсутствие военного опыта — не препятствие Поддержка для лиц с проблемами со здоровьем Помощь с ФСИН и МВД, заморозка долгов и кредитов — начните с чистого листа Удостоверение и статус Ветерана боевых действий Федеральные льготы для военнослужащих и их семей, включая: Бесплатное медобслуживание Образование для детей Жилищные субсидии Приоритетное получение жилья Выплаты на каждого ребёнка — 20 000 руб./мес Сохраняем рабочие места для уже трудоустроенных Лучшее снаряжение и индивидуальная подготовка для каждого Кого мы ждём: Гражданство и возраст — не имеют значения Военный опыт — не требуется Главное — ваша готовность служить и зарабатывать! Приглашаем к сотрудничеству граждан мужского пола, в соответствии с требованиями законодательства о военной службе Российской Федерации Как подать заявку: Оставьте отклик или позвоните — и наш представитель свяжется с вами для консультации и оформления контракта. Ваше будущее начинается здесь. Станьте партнёром в деле безопасности и стабильности страны! Профессиональные навыки Ответственность Выносливость Без опыта Физическая сила и выносливость Военнослужащий Военнослужащий по контракту Откликнуться Позвонить",https://russia.superjob.ru/vakansii/voennosluzhaschij-po-kontraktu-na-svo-50611470.html
Ведущий инженер-конструктор,100 000 — 150 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Строительство, проектирование, недвижимость Конструирование Ведущий инженер-конструктор 100 000 — 150 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Рязань, Промышленная улица, 21 Опыт работы от 3 лет, высшее образование, полная занятость ПК Олмаг Клиент SuperJob с 2018 года До 50 сотрудников Компания ООО ""ПК ОлМаг"" занимается производством и поставкой магнитных сепараторов, систем магнитной опалубки и поставкой постоянных... Обязанности:  Проектирование промышленного оборудования, сопровождение изделия в производстве  Требования:  Образование высшее техническое, знание механики и металлообработки, знание программ 3d моделирования, ЕСКД  Условия:  Оформление по ТК, график 5/2 Откликнуться",https://russia.superjob.ru/vakansii/veduschij-inzhener-konstruktor-30869553.html
Заместитель директора магазина,80 000 — 120 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Топ-персонал Продажи Заместитель директора магазина Заместитель директора магазина 80 000 — 120 000 ₽/месяц Москва ВДНХ  и ещё 9 станций Опыт работы от 1 года, полная занятость Магнолия 7.2 Клиент SuperJob с 2008 года Более 5 000 сотрудников «Магнолия» - это сеть удобных магазинов с ассортиментом для каждого покупателя. Компания существует на рынке уже 30 лет и мы гордимся... Требования: • Опыт работы в продуктовых сетях не менее 1 года в должности зам. директора, администратора или старшего кассира; • Уверенный пользователь ПК; • Знание торговых процессов; • Опыт управления персоналом; • Знание кассовой дисциплины Обязанности: • Организация и контроль торгового процесса магазина; • Контроль товародвижения (заказ, приём, списание товара); • Кассовая дисциплина; • Работа с документацией; • Управление персоналом (контроль за работой сотрудников, постановка задач, мотивация); • Работа в торговом зале. Условия: • Оформление по ТК РФ; • «Белая» зарплата + ежемесячные премии • Выплаты заработной платы 2 раза в месяц на карту, без задержек; • Отсутствие штрафов; • Скидка на продукцию; • Возможность подработок; • Обучение в процессе работы, карьерный рост; • График работы: 7/7; 5/2 или 6/1 (12-ти часовой рабочий день); • Работа рядом с домом, подбираем магазин, ближайший к Вашему дому; • Помогаем с проживанием. Будет преимуществом, если вы уже работали в таких сетевых компаниях как: Пятерочка, Красное и Белое, Перекресток, Магнит, Ашан, Фикспрайс, Лента, Дикси, Фасоль, Евроспар, ВкусВилл, Окей, Азбука Вкуса, Вкусно и Точка, КФС, Озон, Чижик, Верный, и другие на позициях: продавец, продавец-кассир, кассир, грузчик На собеседование можно подъехать с понедельника по пятницу с 9 до 18.00 по адресу: ст. м. Октябрьское поле/ ст. м. Сокол, ул. Алабяна, д. 25/37 Профессиональные навыки Работа в команде Обучение персонала Пользователь ПК Управление персоналом Кассовые документы Откликнуться Позвонить",https://russia.superjob.ru/vakansii/zamestitel-direktora-magazina-49505792.html
Военнослужащий по контракту,от 260 000 ₽/месяц,Опыт не нужен, полная занятость,,"Вакансии Государственная служба Военная служба, служба по контракту Военнослужащий по контракту Военнослужащий по контракту от 260 000 ₽/месяц Опыт не нужен Новосибирск Показать на карте Опыт работы не требуется, полная занятость ДОСААФ Клиент SuperJob с 2024 года До 50 сотрудников Подбор персонала Cлужба по контракту Минобороны РФ Единовременная выплата при заключении контракта до 2 500 000 руб. Кто нужен: В звании рядового и сержантского состава (!); Опыт службы НЕ обязателен, опытные инструктора проведут обучение на высшем уровне подготовки; Категории годности по здоровью А, Б, В, (Г- по результату медосвидетельствования); Можно без военного билета; Можно с погашенными и НЕ погашенными судимостями, на условном сроке, а также с любыми долгами и т.д. Льготы: Статус ветерана боевых действий; Освобождение от уплаты налога на имущество (один объект каждого вида); Приостановление по судебным делам; Сохранение рабочего места (на период действия контракта и 3 месяца после его окончания). Обучение детей на бюджетной основе в вузах; Кредитные и налоговые каникулы; Освобождение от уплаты за детский сад, внеочередное зачисление в детский сад, Бесплатный завтрак и обед в школе. Вакансии / Государственная служба / Военная служба, служба по контракту / Военнослужащий по контракту Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить Чат",https://russia.superjob.ru/vakansii/voennosluzhaschij-po-kontraktu-50506187.html
Главный конструктор,от 120 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Топ-персонал Строительство, проектирование, недвижимость Ведущий инженер конструктор Главный конструктор от 120 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Республика Марий Эл, Звениговский район, посёлок городского типа Красногорский, улица Машиностроителей, 1 Опыт работы от 3 лет, высшее образование, полная занятость Красногорский завод ""Электродвигатель"" Клиент SuperJob с 2022 года До 50 сотрудников Производство электродвигателей, осевых и центробежных вентиляторов, центробежных насосов для специальной техники, холодильного оборудования... Обязанности: Осуществление конструкторского сопровождения производства Разработка конструкторской документации на различные виды изделия Создание новых и модернизация изделий текущего производства, внедрение прогрессивной технологии производства Участие в проведении испытаний опытных образцов продукции Требования: Высшее техническое образование (технология машиностроения, конструкторско-технологическое обеспечение машиностроительных производств) Опытный пользователь САD системы: SolidWorks, Компас Условия: Оформление согласно ТК РФ, график работы 5/2, 8-мичасовой рабочий день.Инженер Откликнуться Позвонить",https://russia.superjob.ru/vakansii/glavnyj-konstruktor-50538872.html
Заместитель директора магазина по безопасности,По договоренности,Опыт работы от 1 года, полная занятость,,"Безопасность, службы охраны Видеонаблюдение Заместитель директора магазина Заместитель директора магазина по безопасности По договоренности Отклик без резюме Волгоград Показать на карте Опыт работы от 1 года, полная занятость Перекресток 6.5 Клиент SuperJob с 2003 года Более 5 000 сотрудников Перекрёсток – российская сеть супермаркетов, с которой надёжно, выгодно и современно. С нами уже более 45 тысяч классных сотрудников, и все... Наши предложения: официальное трудоустройство конкурентный уровень заработной платы стабильные выплаты 2 раза в месяц (оклад и премия) удобный супермаркет для работы профессиональное обучение и развитие возможности карьерного роста для каждого из сотрудников самостоятельность в работе и принятии решений скидки на товары и услуги более чем 900 компаний-партнёров бесплатный доступ к сервису ""Пакет"" (кэшбек за покупки и скидки у партнеров Х5 Group) участие в корпоративных мероприятиях  Наши ожидания: знание и понимание бизнес-процессов товародвижения владение пакетом MS Office на уровне уверенного пользователя желателен опыт работы в розничной торговле проведение работы с персоналом и администрацией магазина по снижению уровня потерь (обучение процессам, контроль исполнения регламентов и внутренних нормативных документов) выявление и пресечение фактов хищения и порчи ТМЦ организация работы сотрудников ЧОП Откликнуться Позвонить",https://russia.superjob.ru/vakansii/zamestitel-direktora-magazina-po-bezopasnosti-50663509.html
Военнослужащий по контракту / Артиллерист,от 260 000 ₽/месяц,Опыт не нужен, полная занятость,,"Вакансии Государственная служба Военная служба, служба по контракту Военнослужащий по контракту Военнослужащий по контракту / Артиллерист от 260 000 ₽/месяц Опыт не нужен Москва Опыт работы не требуется, полная занятость Контракт РФ Клиент SuperJob с 2025 года До 50 сотрудников Набор военнослужащих по контракту. Контракт с МО РФ в зону СВО Принимаем кандидатов из всех регионов России, набор производится независимо от места прописки через Московскую обл. Нижний Новгород, Ростов на Дону, Мос.область, Казань, Уфа, Салехард., Чебоксары Можно с погашенными и не погашенными судимостями Оформление гражданства РФ после подписания контракта для Иностранных граждан и их семей Быстрое поступление Единовременной выплаты, поступает через 7 рабочих дней Военный билет категории А, Б, В, и без воен./бил. Операторы БПЛА Африканский корпус Артиллерия Водители категории С Требования: Желание проходить службу в ВС РФ Ответственность и дисциплинированность Опыт не требуется Принимаем на службу иностранных граждан Условия: Единовременная выплата от 1 500 000 до 3.500 000 млн. +10 соток земли Льготы, гарантии в соответствии с законодательством РФ Контракт от одного года Билеты бронируем заранее.Проезд, питание, проживание на время оформления бесплатно Питание Проживание Билеты Подписание контракта с Министерством Обороны Российской Федерации г Москва Выплата в 2 300 000 поступает через 14 дней после подписания контракта! ЗП от 260 000 ежемесячно (+ доп выплаты, льготы для кандидата и близких)! * Итоговая выплата за контракт от 6 500 000* Учебка до 3 месяцев, комплектация полная. Задолженности в некоторых случаях до 10 миллионов и все судимости гасятся! При официальной работе трудовой договор приостанавливается с сохранением текущего места работы! Заказываем Вам билет вношу Вас в списки военкомата, бронирую проживание и питание. • После приобретения билета: * направляю его Вам в электронной форме; * Вы всё проверяете и подтверждаете намерение Далее: * В назначенную дату Вы выезжаете. * По приезду Вас забирает координатор и сопровождает в военкомат. * Вы проходите ВВК (военно-врачебная комиссия); * Вас заселяют в часть; * дожидаетесь результатов ВВК; * после вызывают на подписание контракта. * Вы подписываете контракт и уезжаете в учебную часть от 2 недель до 3 месяцев; * далее распределение в зону СВО. P.S. проживание и питание на время пребывания в военной части бесплатное!  Вакансия подойдёт для те кто ищет по запросу, Военнослужащий, Военнослужащий по контракту, Военная служба в зоне СВО, Водитель кат С, Оператор БПЛА.  Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить Чат",https://russia.superjob.ru/vakansii/voennosluzhaschij-po-kontraktu-50709920.html
Инженер-конструктор / Ведущий инженер-конструктор,от 40 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Промышленность, производство Авиационная промышленность Ведущий инженер конструктор Инженер-конструктор / Ведущий инженер-конструктор от 40 000 ₽/месяц Санкт-Петербург Горьковская Опыт работы от 1 года, высшее образование, полная занятость ЦСКУ ""Арсенал"" Клиент SuperJob с 2022 года До 50 сотрудников Согласуем и узаконим перепланировку любой сложности. Мы выполняем весь комплекс работ: проектные изыскания, генеральное проектирование,... Компания «ЦСКУ «Арсенал» в связи с активным развитием, приглашает к сотрудничеству начинающих специалистов. Наша организация успешно работает и развивается на рынке проектирования в Санкт-Петербурге на протяжении пятнадцати лет. Преимуществами нашей организации является огромный опыт в реализации объектов любой сложности, а также удобный и комфортный офис в исторической части города на Петроградской стороне. Во главе проектного отдела стоят руководители с большим опытом, готовые делиться им с начинающими специалистами. Основная деятельность Проектного отдела направлена на: · реализацию и согласование проектных решений перепланировок; · приспособления фасадов и внешнего вида; · реконструкций объектов любой сложности. На настоящем этапе Проектному отделу компании ООО «ЦСКУ «АРСЕНАЛ» в штат требуется начинающий специалист в подчинение Главного конструктора отдела, в задачи которого будет входить: · под контролем Главного конструктора выполнение и оформление конструктивных и поверочных расчетов с последовательным обучением их выполнению в программном комплексе SCAD; · разработка разделов проектной и рабочей документации к проектам в объеме архитектурно-строительной и конструктивной части соответствующих объектов; · последовательное развитие как специалиста-проектировщика в промышленном и гражданском строительстве. Для нас важно в новом сотруднике: · наличие высшего образования в области строительства и проектирования зданий и сооружений; · общее понимание принципов строительной механики. · умение работать в AutoCAD, желательно знать азы SCAD. Мы предлагаем: 1. Оформление согласно Трудового кодекса РФ; 2. своевременные выплата зарплатной платы без задержек 2 раза в месяц, премирование за достижение значимых результатов; 3. Возможность карьерного и профессионального роста; 4. График работы в офисе: 5/2 с 10:00 до 19:00; 5. Дружный коллектив профессионалов, увлеченных работой. При наличии необходимых навыков и опыта работы в профильных организациях заработная плата возрастает обсуждаются индивидуально на собеседовании. Профессиональные навыки Ответственность Проектирование Разработка проектной документации нормативно-техническая документация Проектно-конструкторская деятельность разработка чертежей Разработка конструкторской документации Откликнуться Позвонить",https://russia.superjob.ru/vakansii/inzhener-konstruktor-50200111.html
Заведующий магазином,от 59 770 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Кадры, управление персоналом Управление персоналом, корпоративные коммуникации Заведующий магазином от 59 770 ₽/месяц Буденновск Показать на карте Опыт работы от 1 года, полная занятость ФИКС ПРАЙС-ВОСТОК Клиент SuperJob с 2024 года До 50 сотрудников Fix Price - это сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам. Мы предлагаем Вам... Fix Price (Фикс Прайс) - международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает вас на вакансию «Заведующий магазином» (Директор магазина) в г. Буденновск. Чем предстоит заниматься: Организация и поддержание эффективной работы магазина на всех уровнях; Управление командой сотрудников магазина и контроль за их работой; Тесное сотрудничество с региональным менеджером для обеспечения безупречной работы магазина; Взаимодействие с внешними организациями и нашими покупателями для создания уютной и дружелюбной атмосферы в магазине. Что мы ожидаем: Наша команда ищет тех, кто уважает порядок, серьезно относится к своим обязанностям и готов помогать людям; Опытработыот6месяцев в розничной торговле на позициях директор (управляющий) магазина, руководитель торговой точки, товаровед, администратор в розничной торговле и т.д. Вы уверенно владеете компьютером (ПК). Что мы предлагаем: График работы - 5/2, с 8:00 до 17:00; Официальное трудоустройство по ТК РФ, белая зарплата; Выплата зарплаты 2 раза в месяц; Полный соцпакет, оплата отпусков и больничных. С радостью рассмотрим кандидатов, которые работали в других торговых сетях (Магнит, Пятёрочка, Перекрёсток, Красное&Белое, Бристоль, Дикси, Лента, Ашан, Глобус, Светофор, Магнит Косметик, Верный, О'КЕЙ, Детский мир, Спортмастер, Лэтуаль, Кораблик, Читай-город, Галамарт, Леруа Мерлен, Сбермаркет, Самокат, Яндекс). Профессиональные навыки Руководство коллективом Управленческие навыки Управление персоналом Откликнуться",https://russia.superjob.ru/vakansii/zaveduyuschij-magazinom-48529925.html
Военнослужащий по контракту,до 280 000 ₽/месяц,Опыт не нужен, полная занятость,,"Вакансии Военнослужащий по контракту Военнослужащий по контракту до 280 000 ₽/месяц Опыт не нужен Щёкино Показать на карте Опыт работы не требуется, полная занятость Администрация Щекинского района Тульской области Клиент SuperJob с 2025 года До 50 сотрудников Орган местного самоуправления. Обязанности: Военная служба по контракту – это служба в Вооруженных Силах РФ на добровольной оплачиваемой основе, во время которой гражданин получает необходимые знания и практические навыки по конкретной военной специальности. Контрактники являются профессиональными военнослужащими, обладают особым статусом и пользуются соответствующими правами и льготами (определены Федеральным законом 76). Работа согласно должностной инструкции организации Выполнении служебных задач на занимаемой должности; Выполнение боевых задач в условиях военного времени; Обеспечении соблюдения дисциплины подчиненными; Выполнение приказов и распоряжений вышестоящего командного состава. Требования: Квалификация: не требуется Образование: не требуется Возраст от 18 до 60 лет Годность по состоянию здоровья: - отсутствие заболеваний препятствующих выполнению боевых задач (гепатит С, туберкулез, ВИЧ, сахарный диабет, онкология и т.д.) - отсутствие инвалидности o не состоящие на учете в наркологическом и психиатрическом диспансерах o Желание заключить контракт с Министерством обороны вне зависимости от места проживания (бесплатный проезд к месту заключения контракта), в том числе иностранные граждане Условия: График работы: Полный рабочий день Количество рабочих мест: не ограничено Выплаты: При заключении контракта сроком от одного года выплачивается: 400 000 р. единовременная выплата в размере (Министерство обороны РФ); 800 000 р. единовременная выплата (Правительство Тульской области); 50 000 р. единовременная выплата (бюджет муниципального образования Щекинский район). Социальные гарантии: Денежное довольствие до 280 000 руб. ежемесячно в зависимости от воинского звания и должности, а также выполняемых задач; Гарантированное получение ежегодной материальной помощи в размере одного месячного оклада денежного содержания; Жилищное обеспечение: гарантированное вступление в накопительно-ипотечную систему жилищного обеспечения военнослужащих и получение ипотечного кредита до 3 млн. руб. с ежемесячным погашением задолженности по ипотечному кредиту за счет средств федерального бюджета (т.е. военнослужащий не выплачивает задолженность по кредиту, выплаты осуществляет Минобороны РФ); Служебное жильё на период службы или ежемесячная денежная компенсация за наем жилья; Ежегодный основной отпуск от 30 до 60 суток (в зависимости от выслуги лет); Бесплатное медицинское обеспечение Льготы: Для участников СВО предусмотрены дополнительные социальные льготы и гарантии: статус ветерана боевых действий и соответствующие льготы, включая ежемесячную доплату к денежному довольствию; отсрочка платежей по кредитам; бронирование рабочих мест; бюджетные места для обучения детей в вузах (вузами установлены специальные квоты приема на программы бакалавриата и специалитета для абитуриентов, чьи родители принимают участие в спецоперации; квота составит 10% от общего количества бюджетных мест каждого вуза. Дети раненых и погибших могут поступить в вуз без вступительных испытаний); бесплатный отдых детей в летних оздоровительных лагерях; дополнительные выплаты, льготы и гарантии субъектов Российской Федерации. Карьерный рост: При наличии среднего профессионального или высшего образования есть возможность получить офицерское звание. Контактное лицо: Романюк Станислав Сергеевич г. Щекино, пл. Ленина, д. 1 Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться",https://russia.superjob.ru/vakansii/voennosluzhaschij-po-kontraktu-50695937.html
Ведущий инженер,от 90 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Ведущий инженер от 90 000 ₽/месяц Санкт-Петербург Показать на карте Опыт работы от 1 года, полная занятость МЗ ""Арсенал"" Клиент SuperJob с 2021 года Более 500 сотрудников МЗ «Арсенал» – отечественное предприятие, машиностроительный завод с богатой историей и уникальным опытом. История «Арсенала» началась в... Обязанности: Разработка графиков изготовления изделий по направлению АУ и ПУ; Контроль изготовления изделий по направлению АУ и ПУ; Контроль обеспечения изделий ПКИ, материалами, технологической кооперацией; Подготовка производственных совещаний; Планирование обязательной номенклатуры производственным цехам; Контроль выполнения планов цехов и обязательной номенклатуры; Анализ и выявление номенклатуры с критичными сроками изготовления; Участие в разработке финплана по отраслевому производству; Участие в формировании ОЦ и ТФЦ изделий посредством передачи необходимых данных в ЭУ;Согласование договорных документов на поставку ПКИ, материалов, технологической кооперации, оказание услуг Требования: Высшее образование (преимущественно Инженер-экономист, Инженер-конструктор); Умение работать с большим количеством информации; Уверенный пользователь ПК. Мы предлагаем: Белую"" заработную плату, официальное трудоустройство согласно ТК РФ; Бронь при мобилизации; Работу в перспективной оборонной отрасли нашей страны и техническими специалистами со стажем 10+ лет на руководящих должностях; Возможность участвовать в программе наставничества и получать приятные бонусы; Использование индивидуального плана развития как объективного и прозрачного инструмента продвижения по карьерному треку; Работу в молодом и амбициозном коллективе; Посещение профильных тренингов, курсов и конференций за счет компании; Частичную компенсацию питания (100 руб./день); Проведение внутренних интерактивных мероприятий и розыгрышей, тимбилдингов, ярких корпоративов; Персональные скидки на посещение театров, музеев, спортивных матчей в городе Санкт-Петербурге; Посещение собственных спортивных секций по командным играм, теннису и метанию ножей.",https://russia.superjob.ru/vakansii/veduschij-inzhener-50706261.html
Директор магазина,60 000 — 70 000 ₽/месяц,Опыт работы от 1 года,,,"Продажи Директор магазина 60 000 — 70 000 ₽/месяц Элиста Показать на карте Опыт работы от 1 года, сменный график работы В порядке Вещей Клиент SuperJob с 2008 года Более 100 сотрудников Первый магазин сети «В Порядке Вещей» был открыт в г. Волгограде в 1995г Мы на рынке уже более 25 лет, и на данный момент открыты и... Магазины «В порядке вещей» предлагают широкий ассортимент товаров европейских брендов (одежда, обувь, текстиль, товары для детей, галантерея, аксессуары). Огромный выбор на любой вкус и кошелёк, для любых возрастных категорий. В данный момент успешно работают 32 магазина сети ""В порядке вещей"" по России. Мы ищем директора в наш магазин г. Элиста, руководителя и лидера команды. Условия работы: Трудоустройство по ТК РФ; Профессиональное развитие и обучение внутри компании, возможность карьерного роста; Оплачиваемая стажировка и обучение; Стабильная, своевременная зп; Корпоративная мобильная связь; Развитая корпоративная культура компании (подарки, призовые конкурсы и т.д.); Скидки на продукцию; Плавающий график работы ( 4/2, 3/2); Режим работы магазина: пн-пт: с 09:00 до 19:00, сб/вс: с 10:00 до 19:00. Обязанности: Обеспечение выполнения магазином планов продаж и KPI-показателей; Организация работы персонала магазина в соответствии со стандартами компании; Работа с товаром (прием и выкладка товара, сбор возвратов); Ведение товарного учета и подготовка отчетности; Участие в работе с покупателями в торговом зале и на кассе; Решение организационно-хозяйственных вопросов. Требования к кандидату: Опыт работы от 1 года директором‚ управляющим, администратором магазина (одежда, обувь); Уверенный пользователь ПК, знание программы 1C розница; Опыт работы с документацией; Знание принципов обслуживания покупателей; Грамотная устная речь; Порядочность, ответственность. Профессиональные навыки Ведение отчетности Мерчандайзинг Управление продажами Прямые продажи Лидерство 1С: Розница Розничная торговля Учет товаров Организация и контроль работы персонала Приемка товара Составление графиков работы оформление торгового зала",https://russia.superjob.ru/vakansii/direktor-magazina-50142878.html
